time,Hash,Sender,Receiver,"Transaction_amount_BTC",Price,"Transaction_amount_USD"
"2015-12-22",2987dfd3d8bfd63942aa83da6680019ae1c0f24003ab6a4bfdca0e455e3842da,1FHpHDdSpExJ6jLsr24KGD1q7qc7rd2DMd,14TeXru8nhka51Rfka6feStFLdGGStjq36,"2603.32939771","438.58118466898964","1141771.29133"
"2015-12-22",17b3cce752870e586a6eb52fb5c798adc9e952d6351dcd0fbf1e301425a3ef7a,"3BNMBbaVCj7592mYBd2NtVWYysviQsNpYe
3CXTYzPYvQN8GmbLa1MWNSSfQsXob2dgAY
3MTFNQLQ6X7yjMHkbWLnHhgcUw9HJdEjUR
36v1NYuEpZEdukK1kLvzmrRRLg8TBsNcQQ
3F6pb6aWdd2UyW8VXHxYUg49bHUFJ9JSAt
32XaBCz6g5EYEAAkzcQgcCbStccfrcsSRP
3EkicRRiPuUv2KYWBpofikV78UoXS945Ur
36GqXoRobyWCaM4GPRqjPR7z5bd1toXhQA",1BfYXKRXstQZViaPrULgoUGbfjFmJbRMX3,2500,"438.58118466898964","1096452.9616724742"
"2015-12-22",166f04514e55a29aefaf95fede5b36d00023324153e353f71f27814d041341eb,"3Jqcw6EW8vJE1ueAwrr35XF8AzMsYAsB6z
3FkJ2RfgwyBHYW2PETWKJ8Ak79SBcgUPYe",3DSoHndypo8x7paD1cT71gm5Burkv9t7yv,"2998.2500794","438.58118466898964","1314976.0718"
"2015-12-22",1e728d75666d45ad862850cb8dca472dc9bed1483d7828ccf6e76eebfe17c5cb,1PbZviq7yuiTmPMPs4sFRFrGHVKiHKrxfP,1FHpHDdSpExJ6jLsr24KGD1q7qc7rd2DMd,"2603.44226271","438.58118466898964","1141820.79180"
"2015-12-22",f704829f6f9e4d47f03b8fca75fd7d8626ac3ac75bdc58d177a1630e346b7e7d,3DHcPXZ2YdV6yKKi2EQ3zquX4XrVKQCPDY,32mzLhbjZSB2HQmaFoz7z8YCuQmFC88Lcc,"3008.68455748","438.58118466898964","1319552.43751"
"2015-12-22",2d93d86594ec768cb6a74f7d9dcb8842797e25caf6b24b21c900451d294de6f7,"31nhZFonD2ApChTd2VgRz6TTQHtDh25Vj3
3NPzLv1Jy4vhCgavfz6Zt7injzaHMUuJYk
3D9Gi4JsBaFRfyyDHiC3QM4o3zreV6oD4G
3LMnJjz1RJjNZ1uFNhBvcwQdEp5T2rnFg9
32XUXaJftyDXMqkQt81GJmwCP513SohC1W
39QNJSgQg5JnBXAtbF8ezkDn72VqWdPZPJ",37gCHeuSbDKg1eLiyGxbE3nZqk6myemcc1,3000,"438.58118466898964","1315743.5540069689"
"2015-12-22",1a743c8cb99d8a896f71dbef517279842055cd0a73b1ac65901c0cd5dcf46039,17wZQCFt9uhqXMD7LuqmzRv1BRRraZQ1da,1PbZviq7yuiTmPMPs4sFRFrGHVKiHKrxfP,"2608.24221376","438.58118466898964","1143925.96001"
"2015-12-22",e9c1861dd512202a0124ab86a92ec86ba9836bc41bc2a36cad733dce6b9ee59d,"3P2eoKr3vAeZhJcTzon3VFkv5r7DqSXW9G
35NGMkxEZrhBp2awh7RCfFYFsXhREFReJC
32jPMzNzHKE2f6u6V1Ch9qxXXf456D83F5
3Pwp5u7PwgrMw3gAAyLAkDKYKRrFuFkneG
33jhmQXe4Q9dP24Jm9EVa6XHxn85sZnQMR",3FkJ2RfgwyBHYW2PETWKJ8Ak79SBcgUPYe,3000,"438.58118466898964","1315743.5540069689"
"2015-12-22",207303937b03918a48dcab6696e4fe661f82d974be9f9c50b7bc5eed68e28bc2,1HsukQDjKY3SqopGmCUz8Kz47XPcjFQfJp,17wZQCFt9uhqXMD7LuqmzRv1BRRraZQ1da,"2618.24231376","438.58118466898964","1148311.81572"
"2015-12-22",9b47cbf5e02e98b1a0013fae3d944429fb0d78b460896cbbcbbc2c82b76eb6b3,1DYMv4Q4BzrVrxxp6qDE9bkkuP96Fn2yot,1HsukQDjKY3SqopGmCUz8Kz47XPcjFQfJp,"2618.47091376","438.58118466898964","1148412.07538"
"2015-12-21",09af1d478b5a432ca3d48e57d4f2060c05da539277c5307dedb8356de4c06b2c,1CZDsmsHpnE97ZamVc1sxZGfpxsH2p4K6V,1DYMv4Q4BzrVrxxp6qDE9bkkuP96Fn2yot,"2619.15464979","438.4265853658536","1148307.02965"
"2015-12-21",fabcd893e08ee02c3e9717115b92efaf02906732cbe5de31575e9d46fda86538,39w71JgyRX3trenJnHuj9KNgAFcgeZqNxD,3DHcPXZ2YdV6yKKi2EQ3zquX4XrVKQCPDY,"3221.67832038","438.4265853658536","1412469.42515"
"2015-12-21",335fbcd7a99e94beba180a6ad1675ff795ee46c4e0cc724b2fd40897c1051920,18vX7bUDyesCBEBZQbDm5m8oK6ZDsiUm2w,1CZDsmsHpnE97ZamVc1sxZGfpxsH2p4K6V,"2619.83864979","438.4265853658536","1148606.91344"
"2015-12-21",c9289ced8c5a65a540c5aa28f7030feadc64fc017a315222f8084ceef4a5f218,16hVhfLWQ28h9XCap4ANVEQZoYnHaX9pYo,18vX7bUDyesCBEBZQbDm5m8oK6ZDsiUm2w,"2620.58944931","438.4265853658536","1148936.08391"
